Name,Address,Neighborhood,Nearest Airport,Size,Room Style,Vibe,Icon Tags,Description,Insider Tip,Virtuoso Traveler Receives,At the Hotel,Reviews
1 Hotel Brooklyn Bridge,"60 Furman St, Brooklyn, New York, United States",,La Guardia Airport (LGA) - 8 mi/13 km,194 rooms,Contemporary,Hip,"City Life, Landmarks, Local Immersion","With expansive outlooks over the Manhattan skyline and East River, 1 Hotel Brooklyn Bridge is the ideal setting for visitors to the Big Apple. Designed by local artists using native greenery and reclaimed materials, each of the 195 rooms and suites features floor-to-ceiling windows and industrial-chic touches. After a day of sightseeing, tuck into farm-to-table cuisine at The Osprey, or take in city views from the rooftop plunge pool and bar.","Be totally pampered at Bamford Wellness; each treatment is customized to individual guests’ needs, using organic products exclusive to the spa.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast credit of $25per person, for up to two guests per bedroom,applicable in Neighbors Café (credit is non-cumulative)
- $100 USD Food & Beverage credit, once during stay, applicable in The Osprey Restaurant and in Harriet’s Lounge on the 10th floor (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Conference Facilities
- Connecting Rooms
- Internet Access
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Pool
- Sauna
Services
- Concierge Desk
- Laundry/Dry Cleaning/Pressing
- Valet Parking
- Wakeup Calls
- Wedding Services
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '29 Jul 2023', 'headline': 'Delightful', 'reviewer_name': 'By: Mimi', 'review_content': ""Delightful experience. the hotel lobby, room, coffee shop and rooftop pool and bar set the tone.\nNick suggested for my first visit to have view of The Brooklyn Bridge.  Nice added touch for my first stay in Brooklyn.\nI like the location of the hotel. Staff was helpful and for the most part knowledgeable.\nThe pool service was the weak link.  Staff couldn't answer our\nquestions but would try and get answers. Sunday food service was way behind and they comped our meal. As they should of.\nThe food was 30-45 min late for cold uncooked food.  They\nhandled the situation appropriately. Overall the experience was top knotch and I would stay there again...and again!""}, {'recommended': True, 'review_date': '05 Apr 2023', 'headline': 'Stunning Green Hotel', 'reviewer_name': 'By: Katie', 'review_content': '1Hotel Brooklyn Bridge is a beautiful, calming, and comfortable hotel. The views are stunning from every area - even in the rooftop lounge bathroom. Hotel staff was friendly and courteous. The workout space was small but sufficient and clean. All of the food was amazing and pretty. The grounds and neighborhood are welcoming and fun. We will definitely return in the summer to take advantage of the rooftop pool!'}]}"
1 Hotel Hanalei Bay,"5520 Ka Haku Rd, Princeville, Hawaii, United States",,,,,,"Golf, Beach, Wellness","Designed to be one of the world’s premier wellness resorts, 1 Hotel Hanalei Bay harnesses the healing power of Hawaii’s Garden Isle in everything from its spa treatments to its sustainably sourced farm-to-table cuisine. The 252 rooms and suites bring the outside in with native greenery, organic cotton linens, and views of Kauai’s lush landscape. And onsite nutritionists, integrative doctors, and meditation guides help you develop a deeper understanding of mind-body balance and your connection to nature.",,,,{}
1 Hotel San Francisco,"8 Mission St, San Francisco, California, United States","Embarcadero Waterfront, FiDi",San Francisco International (SFO) - 11 mi/18 km,200 rooms,Contemporary,Hip,"Landmarks, Adventure, City Life","Being at one with nature is the ethos of 1 Hotel’s collection of properties – and its newest San Francisco location is no exception. Reclaimed wood, native greenery, and sustainably-sourced linens distinguish the 186 rooms and 14 suites, and dishes crafted with fresh organic ingredients from the chef’s rooftop garden fill the tables at Terrene. Unsurprisingly, the spa offers holistic treatments featuring body and skin-care products from the earth-friendly beauty brand, Bamford.",Explore the city on one of the hotel’s complimentary e-bikes or ask the concierge team to recommend their favorite urban hike.,"Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast credit of $30 per person, for up to two guests per bedroom, served in the restaurant and via in-room dining (credit is non-cumulative)
- $100 USD credit applicable towards Food &Beverage or Spa treatments, to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early check-in / Late check-out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Shopping
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Bicycle Rental
- Fitness Center
- Spa
Services
- Concierge Desk
- Limousine Service
- Room Service
- Valet Parking
- Wakeup Calls
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '11 Jul 2023', 'headline': '1 Hotel', 'reviewer_name': 'By: Jeff', 'review_content': 'Very nice hotel.  Good location and restaurant'}]}"
1 Hotel South Beach,"2341 Collins Ave, Miami Beach, Florida, United States",,Miami International Airport (MIA) - 10 mi/16 km,426 rooms,Indigenous,Casual,"Wellness, Beach, Local Immersion","Look for living green walls and a lobby farm stand inside 1 Hotel South Beach, a stylish nod to nature. Salvaged driftwood and glass terrariums bring the outside into its 425 rooms, while local Florida food can be found at Plnthouse and Habitat. Unwind in the spa, on 600 feet of prime sand, or at the 30,000-square-foot rooftop pool area, South Beach’s largest. Reset body and mind through Mind & Movement wellness offerings, including challenging fitness classes, or grab a complimentary bicycle to ride along the promenade, then visit town in the complimentary house car.",This is the only South Beach oceanfront hotel with a rooftop pool and a Beach Club.,"Virtuoso travelers receive:

- Upgrade on arrival, subject to availability (not applicable to Ocean Front One Bedroom Suites, Homes and higher categories)
- Daily Buffet breakfast for up to two guests per bedroom, available in the Lobby restaurant
- $100 USD equivalent Resort or Hotel credit utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early Check-In / Late Check-Out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- Children's Programs
- Culinary Program
- Internet Access
- Lounge/Bar
- Pet Friendly
- Restaurant
Recreation
- Fitness Center
- Pool
- Spa
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '18 Jan 2024', 'headline': 'Unique and Wonderful', 'reviewer_name': 'By: Stan and Lisa Cooley', 'review_content': ""1 Hotel has done a great job carving out an enviromentally friendly, casually luxurious hotel experience.  Having been to this property before, everything that I remembered loving was reinforced again.  Great ambience, attentive and excellent service,  carefully crafted cusine experiences.  You can't beat the non-stuffy but attentive luxury with a current/hip vibe of South Beach.  Another great stay.""}, {'recommended': True, 'review_date': '22 Oct 2023', 'headline': 'Great hotel', 'reviewer_name': 'By: Naomi', 'review_content': 'Modern, open, friendly hotel with all the amenities'}, {'recommended': True, 'review_date': '23 Mar 2023', 'headline': '1 Hotel South Beach', 'reviewer_name': 'By: R.A. & Ann', 'review_content': 'The hotel was amazing! The vibe, rooms, food,  and amenities are all top notch. Mickey from the concierge team is absolutely phenomenal. From start to finish Mickey was there with first class service and support! We will book another trip in the future at the 1 Hotel South Beach! \nThank you,\nR.A. & Ann'}, {'recommended': True, 'review_date': '09 Feb 2023', 'headline': 'Amazing As per usual with Kristen', 'reviewer_name': 'By: Amira', 'review_content': 'It was super amazing. Gorgeous views, Very nice Staff, amenities are clean and easy to access. Loved the beach access and pools. PERFECT location!\nKristen is amazing , she made my stay very welcoming and fun :)\nThank you so much'}]}"
1 Hotel Toronto,"550 Wellington St W, Toronto, Ontario, Canada",,,,,,"Ecotourism, City Life, Wellness","Toronto’s 1 Hotel is quickly becoming a fan favorite for sophisticated travelers and sustainability enthusiasts alike. Inspired by Canada’s natural beauty, you’ll find eco-friendly details throughout the hotel. Rooms boast custom organic cotton mattresses, hangers made from 100% recycled materials, HEPA filters, and live greenery, plus filtered water taps designed to eliminate single-use plastics. The main lobby even has a farmer’s market with local, seasonal produce available to all guests.",,,,{}
1 Hotel West Hollywood,"8490 W Sunset Blvd, West Hollywood, California, United States",,Bob Hope (BUR) - 7 mi/11 km,285 rooms,Contemporary,Sophisticated,"Local Immersion, City Life, Wellness","Sustainability is top priority at 1 Hotel West Hollywood, an urban oasis located on the perennially hip Sunset Strip. Each of the earthy-inspired rooms and suites feature floor-to-ceiling windows, framing surrounding views of L.A., plus details like native greenery, reclaimed wood, and organic cotton linens, while the four on-site restaurants (plus a lobby fruit stand) serve up everything from locally sourced farm-to-table eats to inventive cocktails and healthy cold-pressed juices.","Balance mind, body, and spirit in true L.A. style with programs like sunrise meditations and kundalini yoga on the pool deck, on-site garden tours, and guided hikes in the neighboring Hollywood Hills.","Virtuoso travelers receive:

- Upgrade on arrival, subject to availability
- Daily breakfast credit of $60 per person, for up to two guests per bedroom, served in the restaurant (credit is non-cumulative)
- $100 USD equivalent Resort or Hotel credit to be utilized during stay (not combinable, not valid on room rate, no cash value if not redeemed in full)
- Early check-in / Late check-out, subject to availability
- Complimentary Wi-Fi

Note: Many of these perks and amenities are only available when you book your stay through a Virtuoso travel advisor.","At the Hotel

Features
- 24-hour Security
- Air Conditioning
- Banquet Facilities
- Business Center
- Conference Facilities
- Connecting Rooms
- Internet Access
- Lounge/Bar
- Multi-lingual Staff
- Parking
- Pet Friendly
- Restaurant
- Shopping
- Wheelchair Accessible
In Your Room
- Bathrobes
- Complimentary Coffee/Tea
- Complimentary Newspaper
- Hair Dryer
- Iron/Ironing Board
- Mini Bar
- Safe
- Slippers
Recreation
- Fitness Center
- Pool
Services
- Concierge Desk
- Housekeeping -- Twice Daily
- Laundry/Dry Cleaning/Pressing
- Room Service
- Room Service 24-hours
- Valet Parking
- Wakeup Calls
","{'recommended_percentage': '100', 'reviews': [{'recommended': True, 'review_date': '17 Apr 2023', 'headline': 'Hotel', 'reviewer_name': 'By: Cianne', 'review_content': 'This hotel was lovely!  Very boutique, earthy feel.'}]}"
7132 Hotel,"Poststrasse 560, Vals, Switzerland",,,,,,"Ski, Seclusion, Wellness","Finally, the chance to switch off and have some time to yourself. Suddenly it all comes together. The architecture is impressive. The mountains all around you echo their ancient beauty. It's a unique experience for the mind, body, and senses wherever you are: relaxing in the award-winning thermal baths, dining in the two-Michelin-starred restaurant 7132 Silver, or sipping a cocktail surrounded by spectacular mountain scenery. The 7132 Hotel: an homage to all that is real and true.",,,,{}
7Pines Resort Ibiza,"Calle Puig Delfin s/n, San Josep de sa Talaia, Ibiza Island, Balearic Islands, Ibiza, Spain",,,,,,"Seclusion, Local Immersion, Wellness","While Ibiza is known for its party-all-night atmosphere, 7Pines Resort Ibiza offers guests a different kind of pace. This cliffside, all-suite resort slows things down with restorative spa treatments, an adults-only infinity pool, and jaw-dropping views of the Mediterranean Sea and island of Es Vedrà. Even the restaurants and bars have a laid-back vibe, like Cone Club with its sunset tapas and signature Cava Sangrias and Pershing Yacht Terrace serving tapenades, fresh fish tacos, and a curated menu of gin and tonics.",,,,{}
Abadia Retuerta LeDomaine,"N-122 km 332.5, Sardon de Duero, Valladolid, Spain",,,,,,"Landmarks, Seclusion, Wellness","Located less than a 2-hour drive from Madrid, this restored abbey is majestically set on 500 acres of vineyards. The heart of the estate is its award-winning winery; its soul, the ancient 12th century Romanesque abbey, a Spanish cultural heritage site. The intimate resort with just 30 guestrooms offers full butler service. Refectorio, the abbey’s original dining hall, is now a Michelin-starred restaurant. Guests enjoy well-being at the Santuario Wellness & Spa, Spain’s first spa sommelier. An array of curated experiences around wine, gastronomy, nature, art and wellness immerse guests inmmerse in the spirit and style of LeDomaine.",,,,{}
Abaton Island Resort & Spa,"Themistokleous&#xA0;Avenue, Hersonissos , Hersonissos, Crete, Greece",,,,,,"Beach, Wellness, Local Immersion","Let loose at Abaton Island Resort & Spa, a labyrinth of gleaming white cubes located along Crete’s north coast just steps from gleaming beaches. The mod structures house 152 Zen-chic rooms, suites, and villas (many with private pools), plus an Elemis spa and five restaurants – including the island’s first Buddha-Bar Beach, which serves Asian fusion fare, DJ-spun music, and creative mixology all summer long. Parasol-covered sunbeds line 1,200 feet of shoreline, while the infinity-edge pool absolutely dazzles.",,,,{}
